,,,,,,Wickets,Lost,,,,
1,30,36.2,33.4,31,28.6,27.3,25.5,21.5,17,12.2,4.4
2,29,35.3,32.5,30.18333333,27.85,26.48333333,24.7,20.96666667,16.53333333,11.83333333,4.25
3,28,34.4,31.6,29.36666667,27.1,25.66666667,23.9,20.43333333,16.06666667,11.46666667,4.1
4,27,33.5,30.7,28.55,26.35,24.85,23.1,19.9,15.6,11.1,3.95
5,26,32.6,29.8,27.73333333,25.6,24.03333333,22.3,19.36666667,15.13333333,10.73333333,3.8
6,25,31.7,28.9,26.91666667,24.85,23.21666667,21.5,18.83333333,14.66666667,10.36666667,3.65
1,24,30.8,28,26.1,24.1,22.4,20.7,18.3,14.2,10,3.5
2,23,29.9,27.13333333,25.26666667,23.31666667,21.61666667,20,17.65,13.76666667,9.65,3.333333333
3,22,29,26.26666667,24.43333333,22.53333333,20.83333333,19.3,17,13.33333333,9.3,3.166666667
4,21,28.1,25.4,23.6,21.75,20.05,18.6,16.35,12.9,8.95,3
5,20,27.2,24.53333333,22.76666667,20.96666667,19.26666667,17.9,15.7,12.46666667,8.6,2.833333333
6,19,26.3,23.66666667,21.93333333,20.18333333,18.48333333,17.2,15.05,12.03333333,8.25,2.666666667
1,18,25.4,22.8,21.1,19.4,17.7,16.5,14.4,11.6,7.9,2.5
2,17,24.45,21.86666667,20.16666667,18.51666667,16.86666667,15.73333333,13.76666667,11.21666667,7.616666667,2.35
3,16,23.5,20.93333333,19.23333333,17.63333333,16.03333333,14.96666667,13.13333333,10.83333333,7.333333333,2.2
4,15,22.55,20,18.3,16.75,15.2,14.2,12.5,10.45,7.05,2.05
5,14,21.6,19.06666667,17.36666667,15.86666667,14.36666667,13.43333333,11.86666667,10.06666667,6.766666667,1.9
6,13,20.65,18.13333333,16.43333333,14.98333333,13.53333333,12.66666667,11.23333333,9.683333333,6.483333333,1.75
1,12,19.7,17.2,15.5,14.1,12.7,11.9,10.6,9.3,6.2,1.6
2,11,18.7,16.21666667,14.53333333,13.16666667,11.8,11.03333333,9.833333333,8.616666667,5.866666667,1.483333333
3,10,17.7,15.23333333,13.56666667,12.23333333,10.9,10.16666667,9.066666667,7.933333333,5.533333333,1.366666667
4,9,16.7,14.25,12.6,11.3,10,9.3,8.3,7.25,5.2,1.25
5,8,15.7,13.26666667,11.63333333,10.36666667,9.1,8.433333333,7.533333333,6.566666667,4.866666667,1.133333333
6,7,14.7,12.28333333,10.66666667,9.433333333,8.2,7.566666667,6.766666667,5.883333333,4.533333333,1.016666667
1,6,13.7,11.3,9.7,8.5,7.3,6.7,6,5.2,4.2,0.9
2,5,11.41666667,9.416666667,8.083333333,7.083333333,6.083333333,5.583333333,5,4.333333333,3.5,0.75
3,4,9.133333333,7.533333333,6.466666667,5.666666667,4.866666667,4.466666667,4,3.466666667,2.8,0.6
4,3,6.85,5.65,4.85,4.25,3.65,3.35,3,2.6,2.1,0.45
5,2,4.566666667,3.766666667,3.233333333,2.833333333,2.433333333,2.233333333,2,1.733333333,1.4,0.3
6,1,2.283333333,1.883333333,1.616666667,1.416666667,1.216666667,1.116666667,1,0.866666667,0.7,0.15
